FID,Shape *,Evento,PC1_woe,PC2_woe,V2X_woe,X1R_woe,X3R_woe
749,Point ZM,0,0.965277,0.616158,-0.682033,0.165285,0.17043
750,Point ZM,0,0.965277,0.616158,-0.202755,0.165285,0.083882
751,Point ZM,0,0.965277,0.304827,-0.202755,0.165285,0.17043
752,Point ZM,0,-0.431997,-0.186688,-0.202755,0.165285,0.543944
753,Point ZM,0,0.496723,0.304827,-0.202755,0.165285,0.543944
756,Point ZM,0,0.965277,0.616158,-0.202755,0.165285,0.083882
759,Point ZM,0,0.965277,0.304827,0.341524,0.165285,0.17043
761,Point ZM,0,0.965277,0.304827,0.143557,0.165285,0.083882
762,Point ZM,0,0.965277,-0.159533,0.143557,0.165285,0.17043
763,Point ZM,0,0.965277,0.616158,0.143557,0.165285,0.17043
764,Point ZM,0,0.965277,-0.159533,-0.202755,0.165285,0.17043
765,Point ZM,0,0.965277,-0.186688,-0.202755,0.165285,-0.809453
766,Point ZM,0,0.965277,-0.186688,-0.202755,0.165285,0.17043
767,Point ZM,0,0.965277,-0.159533,0.143557,0.165285,-0.809453
768,Point ZM,0,0.965277,-0.186688,-0.202755,0.165285,-0.809453
769,Point ZM,0,0.965277,-0.186688,-0.202755,0.165285,0.083882
770,Point ZM,0,0.965277,-0.186688,-0.202755,0.165285,0.17043
